City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
559,Huanuni,BO,-18.2667,-66.85,37.96,88,100,2.42,overcast clouds
560,Ziarat,PK,30.3823,67.7282,56.07,19,48,5.73,scattered clouds
561,Jabbeke,BE,51.185,3.095,42.8,70,75,10.36,broken clouds
562,Williston,US,48.147,-103.618,57.0,32,30,8.21,scattered clouds
563,Troitskoye,RU,52.9821,84.6757,30.99,76,35,4.81,scattered clouds
564,Safaga,EG,26.7292,33.9365,62.6,20,0,11.5,clear sky
565,Talara,PE,-4.5772,-81.2719,72.55,80,99,8.01,overcast clouds
566,Gouyave,GD,12.1646,-61.7296,78.8,78,20,20.71,few clouds
567,Agirish,RU,61.9247,63.0231,29.97,95,100,6.89,overcast clouds
568,Chulman,RU,56.8479,124.9104,20.8,82,99,2.26,overcast clouds
569,Gua Musang,MY,4.8823,101.9644,88.59,59,51,0.38,broken clouds
570,Liwonde,MW,-15.0506,35.2035,65.52,96,21,1.32,few clouds
571,Mehamn,NO,71.0357,27.8492,30.61,90,100,16.93,light snow
572,Porto Novo,BJ,6.4965,2.6036,79.7,85,44,6.26,scattered clouds
573,Gwadar,PK,25.1216,62.3254,80.04,71,0,4.83,clear sky
574,Fengrun,CN,39.8333,118.1167,57.0,21,5,15.99,clear sky
575,Port Hardy,CA,50.6996,-127.4199,42.8,75,75,11.5,light rain
576,Taungdwingyi,MM,20.0167,95.55,75.63,56,100,11.07,overcast clouds
577,Vetluga,RU,57.8557,45.781,22.55,96,67,4.72,broken clouds
578,Little Current,CA,45.9793,-81.9248,35.6,80,96,3.44,overcast clouds
579,Rawson,AR,-43.3002,-65.1023,68.4,53,48,6.26,scattered clouds
580,Havoysund,NO,70.9963,24.6622,28.4,86,75,14.97,light snow
581,Marau,BR,-28.4492,-52.2,58.39,80,2,3.89,clear sky
582,Bac Giang,VN,21.2667,106.2,80.6,89,75,4.61,mist
583,Marzuq,YE,14.4,46.4667,66.69,22,82,3.11,broken clouds
584,Vista Hermosa,MX,19.5167,-99.2167,62.6,34,20,11.5,few clouds
585,Ranong,TH,9.9658,98.6348,84.2,84,20,3.44,few clouds
586,Bairiki,KI,1.3292,172.9752,87.8,70,20,9.22,few clouds
587,Yeppoon,AU,-23.1333,150.7333,77.0,78,90,11.5,overcast clouds
588,Ponta Delgada,PT,37.7333,-25.6667,60.8,88,75,20.71,broken clouds
589,Dakar,SN,14.6937,-17.4441,68.0,73,0,8.05,clear sky
590,Aztec,US,36.8222,-107.9929,69.8,12,1,4.61,clear sky
591,Issoire,FR,45.55,3.25,41.0,56,0,8.05,clear sky
592,Sohag,EG,26.557,31.6948,53.6,43,0,5.75,clear sky
593,Umm Bab,QA,25.2142,50.8072,69.01,60,1,21.85,clear sky
594,Nailsea,GB,51.4324,-2.7585,36.0,87,15,2.3,few clouds
595,Palafrugell,ES,41.9174,3.1631,57.0,81,0,2.3,clear sky
596,Martapura,ID,-3.4167,114.85,86.0,79,40,4.61,scattered clouds
597,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,68,90,5.75,overcast clouds
598,Farafangana,MG,-22.8167,47.8333,71.22,88,20,4.74,few clouds
599,Muros,ES,42.7762,-9.0603,52.0,60,0,11.59,clear sky
600,Umm Lajj,SA,25.0213,37.2685,70.52,33,8,17.16,clear sky
601,Gravdal,NO,68.1214,13.5031,36.7,99,100,16.28,light rain
602,Yantal,RU,56.8471,105.2542,32.99,89,100,12.08,light snow
603,Amapa,BR,1.0,-52.0,72.43,98,77,4.65,broken clouds
604,Erdemli,TR,36.605,34.3084,54.68,85,3,6.82,clear sky
605,Laguna,US,38.421,-121.4238,59.0,55,1,11.5,clear sky
606,Balsas,BR,-7.5325,-46.0356,74.03,89,64,0.36,broken clouds
607,Stephenville,US,32.2207,-98.2023,59.0,77,90,4.61,overcast clouds
608,Pizarro,CO,4.9533,-77.366,77.74,88,100,3.56,overcast clouds
609,Talcahuano,CL,-36.7167,-73.1167,53.6,94,0,1.14,clear sky
610,Diego De Almagro,CL,-26.3667,-70.05,62.22,54,98,1.01,overcast clouds
611,Camopi,GF,3.1655,-52.3158,72.16,99,100,2.98,light rain
612,Hamilton,US,39.1834,-84.5333,51.8,43,1,10.36,clear sky
613,Labrea,BR,-7.2586,-64.7981,73.67,98,100,1.3,overcast clouds
614,Ugoofaaru,MV,5.6667,73.0,83.8,65,4,7.7,clear sky
615,Bemidji,US,47.4736,-94.8803,55.0,32,1,5.75,clear sky
